TimeUTC,timestampInMs,requestPath,requestMethod,requestQueryString,responseStatusCode,requestId,requestUserAgent,level,environment,branch,vercelCache,type,function,host,deploymentDomain,deploymentId,durationMs,region,maxMemoryUsed,memorySize,message,projectId,traceId,sessionId,invocationId,instanceId,concurrency,workflowRunId,workflowStepId
2026-09-03 06:11:30,1788415890081,anjnpul1.vercel.app/api/wages/month,GET,month=2026-04,200,zzswf-1788415890059-36eea58e0f5c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,Initializing MongoDB connection via Nitro plugin...,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:11:30,1788415890081,anjnpul1.vercel.app/api/wages/month,GET,month=2026-04,200,zzswf-1788415890059-36eea58e0f5c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,Initializing PostgreSQL connection via Nitro plugin...,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:11:30,1788415890124,anjnpul1.vercel.app/api/wages/month,GET,month=2026-04,200,zzswf-1788415890059-36eea58e0f5c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,⚠️ PostgreSQL connection failed: write CONNECT_TIMEOUT ep-dry-wildflower-ap5nn1bk-pooler.c-7.us-east-1.aws.neon.tech:5432,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:11:30,1788415890271,anjnpul1.vercel.app/api/wages/month,GET,month=2026-04,200,zzswf-1788415890059-36eea58e0f5c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,MongoDB connected.,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:11:30,1788415890275,anjnpul1.vercel.app/api/wages/month,GET,month=2026-04,200,zzswf-1788415890059-36eea58e0f5c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,MongoDB Connected: ac-iivdbdj-shard-00-02.pajrtmm.mongodb.net,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:11:30,1788415890059,anjnpul1.vercel.app/api/wages/month,GET,month=2026-04,200,zzswf-1788415890059-36eea58e0f5c,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,2849,bom1,382,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JY9MMJ66RCBTPCVSEAGA1W,RDO8xOa5yWXf,1,,
2026-09-03 06:11:30,1788415890059,anjnpul1.vercel.app/api/wages/month,GET,month=2026-05,200,69hcd-1788415890059-8056141a9af2,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,33,bom1,388,2048,,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,01M1JY9MMGSY6KB3D4845NCXKS,ESv105PKaFPC,1,,
2026-09-03 06:11:30,1788415890086,anjnpul1.vercel.app/api/wages/month,GET,month=2026-03,200,l2jc8-1788415890058-3e210ca8c5ee,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,🔥 [Firebase Plugin] Firebase Admin SDK initialized for project: work-vs-payment,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:11:30,1788415890086,anjnpul1.vercel.app/api/wages/month,GET,month=2026-03,200,l2jc8-1788415890058-3e210ca8c5ee,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,Initializing MongoDB connection via Nitro plugin...,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
2026-09-03 06:11:30,1788415890086,anjnpul1.vercel.app/api/wages/month,GET,month=2026-03,200,l2jc8-1788415890058-3e210ca8c5ee,"Mozilla/5.0 (Windows NT 10.0; Win64; x64) AppleWebKit/537.36 (KHTML, like Gecko) Chrome/152.0.0.0 Safari/537.36",info,production,main,MISS,function,/api/wages/month,anjnpul1.vercel.app,anjnpul1-6cylap42w-paulanjan3-yahooins-projects.vercel.app,dpl_2D4onNtkjF2V3T5KtGj9EsbMtJTw,,,,,Initializing PostgreSQL connection via Nitro plugin...,prj_RYPOLphWnODcCyuA8UfwJusJQ3q0,,,,,,,
